feature,importance
Validación del producto,0.3527198395264825
Observación / Registro de datos,0.20917969769377578
Métricas de rendimiento,0.20789555189386486
Tecnologías emergentes,0.050688958396153096
Aplicación de pruebas estadísticas,0.026995731687020477
Enfoque,0.02597460071525336
Índice de antigüedad,0.021986050815439247
Validación de modelos,0.014673594685317318
Índice de impacto de revistas,0.012358050643661456
Marcos de referencias,0.012032598024419049
Entrevistas,0.008633325616129825
Diseño de investigación,0.00795198576788404
Nivel (alcance),0.0072879638121194
% de fuentes utilizadas,0.007265378787696664
% de citas textuales,0.007090778905411452
% de conectores lógicos,0.006973480639381905
Tipo de investigación,0.0067545029883262575
Desarrollo de software,0.005542696222989178
Encuestas,0.0038200216406995137
Relevantes y aportan a la ciencia y tecnología,0.002213888768522847
% de parafraseo,0.0019613027694519117
