feature,corr,abs_corr
Validación del producto,0.7302044821857089,0.7302044821857089
Métricas de rendimiento,0.7073506069311651,0.7073506069311651
Observación / Registro de datos,0.6417751605356575,0.6417751605356575
Desarrollo de software,0.53833546376283,0.53833546376283
Marcos de referencias,0.5183143155690348,0.5183143155690348
Aplicación de pruebas estadísticas,0.5062673479176324,0.5062673479176324
Enfoque,0.45654614183219094,0.45654614183219094
Tipo de investigación,0.4284174156265165,0.4284174156265165
Tecnologías emergentes,0.37028621038604836,0.37028621038604836
Índice de antigüedad,0.36314564414695244,0.36314564414695244
Encuestas,0.35347439869074637,0.35347439869074637
Validación de modelos,0.3504956269771521,0.3504956269771521
Entrevistas,0.3446021752502398,0.3446021752502398
Diseño de investigación,0.34373514493549817,0.34373514493549817
Relevantes y aportan a la ciencia y tecnología,0.3334146370003514,0.3334146370003514
% de citas textuales,0.23938825633758867,0.23938825633758867
Nivel (alcance),0.22283987417018522,0.22283987417018522
Índice de impacto de revistas,0.2146243779286491,0.2146243779286491
% de parafraseo,0.18887514773571795,0.18887514773571795
% de fuentes utilizadas,0.15877111587530252,0.15877111587530252
% de conectores lógicos,0.04104547463365336,0.04104547463365336
